StringGIS,STATEFIP,State,MIGSTATE,MIGPUMA,MIGPUMAID,PWSTATE,PWPUMA,Subregion7,Subregion5,County,CountyFIP
900100,9,Connecticut,9,100,900100,9,100,CT,CT,Fairfield,9001
900500,9,Connecticut,9,500,900500,9,500,CT,CT,Litchfield,9005
900900,9,Connecticut,9,900,900900,9,900,CT,CT,New Haven,9009
3400300,34,New Jersey,34,300,3400300,34,300,NJ In,NJ,Bergen,34003
3400400,34,New Jersey,34,400,3400400,34,400,NJ In,NJ,Passaic,34031
3400600,34,New Jersey,34,600,3400600,34,600,NJ In,NJ,Hudson,34017
3400800,34,New Jersey,34,800,3400800,34,800,NJ Out,NJ,Hunterdon,34019
3400900,34,New Jersey,34,900,3400900,34,900,NJ In,NJ,Middlesex,34023
3401000,34,New Jersey,34,1000,3401000,34,1000,NJ In,NJ,Somerset,34035
3401100,34,New Jersey,34,1100,3401100,34,1100,NJ Out,NJ,Monmouth,34025
3401200,34,New Jersey,34,1200,3401200,34,1200,NJ Out,NJ,Ocean,34029
3401300,34,New Jersey,34,1300,3401300,34,1300,NJ In,NJ,Essex,34013
3401500,34,New Jersey,34,1500,3401500,34,1500,NJ In,NJ,Morris,34027
3401600,34,New Jersey,34,1600,3401600,34,1600,NJ Out,NJ,Sussex,34037
3401700,34,New Jersey,34,1700,3401700,34,1700,NJ Out,NJ,Warren,34041
3401800,34,New Jersey,34,1800,3401800,34,1800,NJ In,NJ,Union,34039
3402300,34,New Jersey,34,2300,3402300,34,2300,NJ Out,NJ,Mercer,34021
3602700,36,New York,36,2700,3602700,36,2700,Mid Hud,HV,Sullivan-Ulster,3610536111
3602800,36,New York,36,2800,3602800,36,2800,Mid Hud,HV,Dutchess,36027
3602900,36,New York,36,2900,3602900,36,2900,Mid Hud,HV,Orange,36071
3603000,36,New York,36,3000,3603000,36,3000,Low Hud,HV,Rockland,36087
3603100,36,New York,36,3100,3603100,36,3100,Low Hud,HV,Westchester-Putnam,3607936119
3603200,36,New York,36,3200,3603200,36,3200,LI,LI,Nassau,36059
3603300,36,New York,36,3300,3603300,36,3300,LI,LI,Suffolk,36103
3603700,36,New York,36,3700,3603700,36,3700,NYC,NYC,Bronx,36005
3603800,36,New York,36,3800,3603800,36,3800,NYC,NYC,Manhattan,36061
3603900,36,New York,36,3900,3603900,36,3900,NYC,NYC,Staten Island,36085
3604000,36,New York,36,4000,3604000,36,4000,NYC,NYC,Brooklyn,36047
3604100,36,New York,36,4100,3604100,36,4100,NYC,NYC,Queens,36081
