StateName,STATEFIP,PUMA,GISJOIN,GISMATCH,CountyCode,CountyName,Subregion
Connecticut,9,100,G09000100,900100,9005,Litchfield,CT
Connecticut,9,1400,G09001400,901400,9009,New Haven,CT
Connecticut,9,1500,G09001500,901500,9009,New Haven,CT
Connecticut,9,1600,G09001600,901600,9009,New Haven,CT
Connecticut,9,1700,G09001700,901700,9009,New Haven,CT
Connecticut,9,1800,G09001800,901800,9009,New Haven,CT
Connecticut,9,1900,G09001900,901900,9009,New Haven,CT
Connecticut,9,2000,G09002000,902000,9009,New Haven,CT
Connecticut,9,2100,G09002100,902100,9001,Fairfield,CT
Connecticut,9,2200,G09002200,902200,9001,Fairfield,CT
Connecticut,9,2300,G09002300,902300,9001,Fairfield,CT
Connecticut,9,2400,G09002400,902400,9001,Fairfield,CT
Connecticut,9,2500,G09002500,902500,9001,Fairfield,CT
New Jersey,34,301,G34000301,3400301,34003,Bergen,NJIn
New Jersey,34,302,G34000302,3400302,34003,Bergen,NJIn
New Jersey,34,303,G34000303,3400303,34003,Bergen,NJIn
New Jersey,34,304,G34000304,3400304,34003,Bergen,NJIn
New Jersey,34,305,G34000305,3400305,34003,Bergen,NJIn
New Jersey,34,306,G34000306,3400306,34003,Bergen,NJIn
New Jersey,34,400,G34000400,3400400,34031,Passaic,NJIn
New Jersey,34,501,G34000501,3400501,34031,Passaic,NJIn
New Jersey,34,502,G34000502,3400502,34031,Passaic,NJIn
New Jersey,34,601,G34000601,3400601,34017,Hudson,NJIn
New Jersey,34,602,G34000602,3400602,34017,Hudson,NJIn
New Jersey,34,701,G34000701,3400701,34017,Hudson,NJIn
New Jersey,34,702,G34000702,3400702,34017,Hudson,NJIn
New Jersey,34,703,G34000703,3400703,34017,Hudson,NJIn
New Jersey,34,800,G34000800,3400800,34019,Hunterdon,NJOut
New Jersey,34,901,G34000901,3400901,34023,Middlesex,NJIn
New Jersey,34,902,G34000902,3400902,34023,Middlesex,NJIn
New Jersey,34,903,G34000903,3400903,34023,Middlesex,NJIn
New Jersey,34,904,G34000904,3400904,34023,Middlesex,NJIn
New Jersey,34,905,G34000905,3400905,34023,Middlesex,NJIn
New Jersey,34,1001,G34001001,3401001,34035,Somerset,NJIn
New Jersey,34,1002,G34001002,3401002,34035,Somerset,NJIn
New Jersey,34,1101,G34001101,3401101,34025,Monmouth,NJOut
New Jersey,34,1102,G34001102,3401102,34025,Monmouth,NJOut
New Jersey,34,1103,G34001103,3401103,34025,Monmouth,NJOut
New Jersey,34,1104,G34001104,3401104,34025,Monmouth,NJOut
New Jersey,34,1105,G34001105,3401105,34025,Monmouth,NJOut
New Jersey,34,1201,G34001201,3401201,34029,Ocean,NJOut
New Jersey,34,1202,G34001202,3401202,34029,Ocean,NJOut
New Jersey,34,1203,G34001203,3401203,34029,Ocean,NJOut
